Title: Disk and halo wide binaries from the Revised Luyten Catalog: probes 
       of star formation and MACHO dark matter  
Authors: Chaname J., Gould A. 
Table: Wide Binaries from the Revised NLTT Catalog
================================================================================
Byte-by-byte Description of file: datafile1.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label   Explanations
--------------------------------------------------------------------------------
   1-  5 I5     ---       NLTT-A  Pair A New Luyten Two-Tenths Catalog number 
   7- 11 I5     ---       NLTT-B  Pair B New Luyten Two-Tenths Catalog number
  13- 22 F10.6  deg       RAdegA  Pair A Right Ascension (1)
  24- 33 F10.6  deg       DEdegA  Pair A Declination (1)
  35- 44 F10.6  deg       RAdegB  Pair B Right Ascension (1) 
  46- 55 F10.6  deg       DEdegB  Pair B Declination (1)
  57- 63 F7.4   arcsec/yr pmRA-A  Pair A Right Ascension proper motion
  65- 71 F7.4   arcsec/yr pmDE-A  Pair A Declination proper motion
  73- 79 F7.4   arcsec/yr pmRA-B  Pair B Right Ascension proper motion
  81- 87 F7.4   arcsec/yr pmDE-B  Pair B Declination proper motion
  89- 93 F5.2   mag       VmagA   Pair A V band magnitude (2)
  95- 99 F5.2   mag       (V-J)A  Pair A (V-J) color (2)
 101-105 F5.2   mag       VmagB   Pair B V band magnitude (2)
 107-111 F5.2   mag       (V-J)B  Pair B (V-J) color (2)
 113-115 I3     ---       SC-A    Pair A source code (3)
 117-119 I3     ---       SC-B    Pair B source code (3)
     121 I1     ---       CCode   Common proper-motion classification code (4)
 124-129 F6.4   arcsec/yr Delpm   Proper-motion difference between components
 131-136 F6.1   arcsec    DelSep  Angular separation between components
 138-142 F5.1   deg       PosAng  Position angle of B with respect to A
     144 I1     ---       Bin     The rNLTT binarity indicator (5)
     146 I1     ---       Allen   Pair is in Allen et al. (2000)? (6)
--------------------------------------------------------------------------------
Note (1): In decimal degrees and where all coordinates are epoch and 
          equinox 2000.
Note (2): The uncertainties in the $V$-band photometry are dependent on the 
          source catalog: ~0.25 mag for USNO photometry, and ~0.01 mag for 
          Hipparcos.  The errors in the color are essentially those of the 
          optical data.
Note (3): The three digits of the source code are the same as those introduced 
          in Salim & Gould (2003).  As summarized there, the digits refer to 
          the sources of the position, proper motion, and V photometry.  For
          additional details see Salim & Gould (2003).
    0 = the star is not recovered by rNLTT, and the position is the same as 
        that of the rNLTT companion;
    1 = Hipparcos;
    2 = Tycho-2;
    3 = Tycho Double Star Catalog;
    4 = Starnet; 
    5 = USNO/2MASS;
    6 = NLTT; 
    7 = USNO (for position) or common proper motion companion (for proper 
        motion);
    8 = USNO-B.
Note (4):
    1 = disk binary; 
    2 = halo binary; 
    3 = at least one component is a white dwarf; 
    4 = rejected because of uncertain classification; 
    5 = rejected because of components have inconsistent RPM positions; 
    6 = rejected because of a large proper-motion difference or it is beyond 
        the limits of our search; 
    7 = rejected because one component was not found in any available sources.
Note (5): 
    0 = both NLTT stars are not present in rNLTT;
    1 = NLTT regards it as a binary but rNLTT did not recover one of the 
        components;
    2 = NLTT regards it as a binary and both components are present in rNLTT; 
    3 = NLTT does not regard this as a binary.
Note (6): 
    0 = not in the sample;
    1 = in the sample.
--------------------------------------------------------------------------------
    2     3   0.636230  -8.438330   0.656510  -8.414760 -0.0797 -0.1109 -0.0672 -0.1847 12.41  2.10 15.37  3.32 555 555 6  0.0749  111.4  40.4 2 0
   30    60   0.799090 -16.725150   0.881760 -16.732920  0.2157 -0.0113  0.2450 -0.0066 19.09  4.39 14.73 -0.11 566 555 3  0.0297  286.4  95.6 3 0
   53    54   0.856540 -24.486060   0.857790 -24.487020  0.2555 -0.0717  0.2555 -0.0717 12.61  2.92 15.37  4.01 555 576 1  0.0000    6.0 126.0 2 0
   84    86   1.046420 -10.137720   1.051744 -10.141096  0.1437  0.0814  0.1499  0.0752 17.50  3.49  9.83  1.23 555 121 1  0.0088   22.4 122.8 2 0
  158   159   1.359277 -25.976425   1.359277 -25.976425  0.1858  0.0079  0.1858  0.0079 12.31  2.23 12.31  2.23 222 222 1  0.0000    3.5 140.0 2 0
  166   167   1.374630 -25.516860   1.375820 -25.518450  0.2269 -0.0758  0.3116 -0.2019 12.21  1.90 12.21  2.77 555 555 1  0.1519    7.0 147.0 2 0
  171   186   1.395280  -6.118640   1.460410  -6.222740  0.1775 -0.0644  0.1678 -0.0519 13.10  3.81 16.93  4.00 555 555 5  0.0158  441.4 148.1 3 0
  172   173   1.420954  45.812016   1.420893  45.810315  0.8787 -0.1539  0.8787 -0.1539  9.59  3.48  9.80  3.64 516 516 1  0.0000    5.7 181.0 2 0
  175   176   1.401560  -1.660810   1.403640  -1.665650  0.3251  0.1279  0.3235  0.1260 17.16  4.28 15.93  4.08 555 555 1  0.0025   19.0 156.8 2 0
  239   240   1.668130  35.925440   1.668130  35.925440  0.2144  0.0376  0.2144  0.0376 18.51  2.59 18.51  2.59 555 555 2  0.0000   10.0 166.0 2 0
  295   296   1.843900 -29.588170   1.843850 -29.590530  0.2643 -0.2059  0.2643 -0.2059 18.64  5.62 15.17  3.89 576 555 1  0.0000    8.0 186.0 2 0
  307   308   1.887026 -27.286322   1.890791 -27.292000 -0.1173  0.2208 -0.1173  0.2208 17.45  1.03 18.99  2.68 566 566 3  0.0330   23.7 149.5 0 0
  319   320   1.987090 -30.071460   1.988550 -30.071490  0.1367  0.0208  0.1367  0.0208 16.69  3.47 18.86  3.65 555 576 1  0.0000    4.0  92.0 2 0
  401   410   2.300790 -30.561010   2.315430 -30.582210  0.1361 -0.0860  0.0722 -0.1490 17.59  4.34 14.56  1.17 555 555 5  0.0897   88.8 149.3 2 0
  405   412   2.329100  48.333990   2.348660  48.327730  0.2048 -0.0050  0.2013 -0.0031 16.41  3.37 14.44  2.50 555 555 4  0.0040   52.0 115.7 2 0
  431   433   2.397690  31.145840   2.413850  31.147720 -0.3621 -0.3968 -0.3598 -0.3959 16.80  0.39 13.43  3.35 555 555 3  0.0025   50.2  82.3 2 0
  450   452   2.483120  30.935830   2.486190  30.939360  0.1872 -0.0477  0.1870 -0.0476 17.57  4.21 15.10  3.59 555 555 1  0.0002   15.9  36.7 2 0
  454   455   2.489150  -6.604160   2.499340  -6.533630  0.2466 -0.0097  0.2493 -0.0041 15.09  4.21 15.79  4.62 555 555 1  0.0062  256.5   8.2 3 0
  521   522   2.810000  14.592880   2.808620  14.592910 -0.2470 -0.2716 -0.2470 -0.2716 12.84  2.37 14.61  3.98 555 576 1  0.0000    5.4 277.0 2 0
  525   526   2.823494 -20.725200   2.823990 -20.727570  0.2957  0.0406  0.2957  0.0406 11.80  0.97 14.35  2.16 121 576 2  0.0000    8.5 168.0 2 1
  589   592   3.139617  21.713439   3.143530  21.706350  0.1831 -0.2892  0.1845 -0.2879 11.67  2.82 13.33  3.63 121 555 1  0.0019   28.7 152.9 2 0
  663   664   3.414422 -28.288506   3.413705 -28.300708  0.2207  0.0026  0.2134  0.0018 11.31  2.17 10.96  1.65 222 121 1  0.0073   44.0 183.0 2 0
  666   667   3.423410  15.344370   3.423410  15.344370  0.2688  0.0607  0.2688  0.0607 15.88 -9.00 14.14  2.74 576 555 1  0.0000    5.0  63.0 1 0
